"","X1","P.locat"," NP "," GP","BFj","BUj","palsites.real.lon","palsites.real.lat","COTeros","COTnum","meanLCC"
"1",1,"outer",5.42696808960777,4.46953754731178,0,0.000392059624653169,162.95673,5.26699,0.177394571747037,1,0.222166666666667
"2",2,"outer",8.59951206267796,7.04914857596414,0.000916508597382326,0,162.90755,5.27876,0.216194596233488,1,0.436666666666667
"3",3,"outer",10.9242589996569,7.9781648166829,0,0.000178268779435373,162.98051,5.26525,0,0,0.292666666666667
"4",4,"outer",10.9895881990906,9.51719824653985,0,0.0132927373030781,163.0027,5.37348,0,0,0.357
"5",5,"outer",16.608123316217,13.5379475793063,0,0.00208910579241461,162.99699,5.37506,0,0,0.478333333333333
"6",6,"outer",2.47397693344325,2.98133579092955,0.000512566401517524,0.000594984330896221,162.8967,5.29927,1.63236798058683,8,0.271
"7",7,"outer",0.945902182240274,3.32291802973683,0,0.00102721205598142,162.93533,5.32677,3.07681627743787,14,0.205
"8",8,"outer",6.79895973932576,6.34865492566091,0,0.00462603275494467,163.03798,5.31259,0,0,0.2385
"9",9,"outer",7.89801555578409,7.28970826877905,0,0.0243543519004817,163.03645,5.32721,0,0,0.274
"10",10,"outer",3.64127237483664,2.93685884159118,0.00551809340920913,0,162.94688,5.35649,0.766631618659744,4,0.2055
"11",11,"outer",4.2043587206157,3.73565318406481,0,0.00154637326818209,163.03059,5.28791,0,0,0.2315
"12",12,"outer",0.987615048973646,0.758182246329718,0,0.00236694423119181,163.02065,5.27187,0,0,0.0478333333333333
"13",13,"outer",3.34489417958497,6.8271278779365,0.008963570054856,0.00169225483906451,162.98283,5.3718,5.11731947395156,17,0.3105
"14",14,"outer",8.82219757184291,7.56477576151011,0,0.00712051809657881,163.03365,5.33899,0,0,0.2695
"15",15,"outer",11.5365269139614,8.03421050068089,0,0,162.98364,5.26278,0,0,0.486
"16",16,"outer",11.1290067273244,9.94366078287833,0,0.00562730607899823,162.97695,5.36937,0,0,0.336
"17",17,"outer",4.21308165541575,3.1019237882719,0,0.000267005615232096,162.90034,5.31134,0,0,0.314
"18",18,"outer",7.71261494625632,7.91887833317762,0.0364308223199513,0,162.98454,5.37275,1.92096934234799,6,0.339
"19",19,"inner",4.2552621911078,3.22126605103739,0,0,163.02315,5.32558,0,0,0.203666666666667
"20",20,"inner",2.7586943648278,2.9825539926255,0.00076867265330059,0,162.95325,5.34423,0.951526579719706,7,0.190666666666667
"21",21,"inner",8.57797002375963,5.91577235009998,0,0.000441822090796116,162.939,5.32762,0,0,0.4505
"22",22,"inner",8.12895570004991,6.16773825367116,0.0160856403763933,0,162.95012,5.3458,0.750251261728915,4,0.401333333333333
"23",23,"inner",9.58522303694634,6.69269956142207,0,0,162.96646,5.27639,0,0,0.51
"24",24,"inner",6.90566786833916,4.33497734715004,0,0,162.95404,5.34976,0,0,0.2935
