Site,Transect,Species,cm,rugosity,Diff,COT
L,1,Coralline algae,22,9.7,22,
L,1,Halimeda,33,,11,
L,1,Coralline algae,91,,58,
L,1,Dead Acropora,112,,21,
L,1,Coralline algae,212,,100,
L,1,Dead Acropora,225,,13,
L,1,Coralline algae,295,,70,
L,1,Dead Acropora,312,,17,
L,1,Coralline algae,394,,82,
L,1,Dead Acropora,482,,88,
L,1,Halimeda,485,,3,
L,1,Coralline algae,500,,15,
L,1,Halimeda,531,,31,
L,1,Coralline algae,570,,39,
L,1,Dead Acropora,652,,82,
L,1,Coralline algae,692,,40,
L,1,Halimeda,710,,18,
L,1,Dead Acropora,745,,35,
L,1,Coralline algae,752,,7,
L,1,Dead Acropora,871,,119,
L,1,Coralline algae,883,,12,
L,1,Dead Acropora,905,,22,
L,1,Coralline algae,953,,48,
L,1,Dead Acropora,1000,,47,
L,2,Coralline algae,22,9.8,22,
L,2,Dead Acropora,105,,83,
L,2,Coralline algae,109,,4,
L,2,Dead Acropora,145,,36,
L,2,Halimeda,155,,10,
L,2,Dead Acropora,203,,48,
L,2,Halimeda,225,,22,
L,2,Coralline algae,245,,20,
L,2,Dead Acropora,264,,19,
L,2,Halimeda,283,,19,
L,2,Dead Acropora,302,,19,
L,2,Coralline algae,325,,23,
L,2,Halimeda,335,,10,
L,2,Dead Acropora,415,,80,
L,2,Coralline algae,430,,15,
L,2,Dead Acropora,532,,102,
L,2,Coralline algae,541,,9,
L,2,Dead Acropora,595,,54,
L,2,Coralline algae,598,,3,
L,2,Dead Acropora,650,,52,
L,2,Coralline algae,720,,70,
L,2,Dead Acropora,772,,52,
L,2,Coralline algae,803,,31,
L,2,Dead Acropora,841,,38,
L,2,Coralline algae,863,,22,
L,2,Dead Acropora,1000,,137,
L,3,Coralline algae,22,8.9,22,
L,3,Dead Acropora,69,,47,
L,3,Coralline algae,84,,15,
L,3,Porites lobata,145,,61,
L,3,Coralline algae,149,,4,
L,3,Porites lobata,203,,54,
L,3,Coralline algae,221,,18,
L,3,Porites lobata,285,,64,
L,3,Coralline algae,352,,67,
L,3,Dead Acropora,362,,10,
L,3,Halimeda,385,,23,
L,3,Dead Acropora,458,,73,
L,3,Macroalgae Red,473,,15,
L,3,Carbonate,495,,22,
L,3,Macroalgae Red,512,,17,
L,3,Coralline algae,542,,30,
L,3,Carbonate,615,,73,
L,3,Halimeda,641,,26,
L,3,Coralline algae,673,,32,
L,3,Dead Acropora,772,,99,
L,3,Acropora hyacinthus,775,,3,
L,3,Coralline algae,812,,37,
L,3,Acropora hyacinthus,817,,5,
L,3,Coralline algae,822,,5,
L,3,Halimeda,825,,3,
L,3,Coralline algae,893,,68,
L,3,Dead Acropora,910,,17,
L,3,Halimeda,915,,5,
L,3,Dead Acropora,942,,27,
L,3,Coralline algae,965,,23,
L,3,Dead Acropora,1000,,35,
L,4,Macroalgae Red,91,9.2,91,
L,4,Dead Acropora,102,,11,
L,4,Macroalgae Red,122,,20,
L,4,Dead Acropora,193,,71,
L,4,Halimeda,208,,15,
L,4,Dead Acropora,235,,27,
L,4,Pocillopora eydouxi,245,,10,
L,4,Coralline algae,271,,26,
L,4,Dead Acropora,321,,50,
L,4,Halimeda,325,,4,
L,4,Dead Acropora,375,,50,
L,4,Coralline algae,422,,47,
L,4,Dead Acropora,439,,17,
L,4,Leptoria phrygia,485,,46,
L,4,Dead Acropora,502,,17,
L,4,Macroalgae Red,512,,10,
L,4,Coralline algae,538,,26,
L,4,Macroalgae Red,565,,27,
L,4,Dead Acropora,582,,17,
L,4,Halimeda,593,,11,
L,4,Dead Acropora,652,,59,
L,4,Coralline algae,667,,15,
L,4,Dead Acropora,820,,153,
L,4,Halimeda,825,,5,
L,4,Dead Acropora,907,,82,
L,4,Halimeda,918,,11,
L,4,Dead Acropora,972,,54,
L,4,Halimeda,985,,13,
L,4,Carbonate,1000,,15,
L,5,Halimeda,11,9.8,11,
L,5,Dead Acropora,63,,52,
L,5,Coralline algae,110,,47,
L,5,Dead Acropora,142,,32,
L,5,Coralline algae,148,,6,
L,5,Carbonate,189,,41,
L,5,Coralline algae,210,,21,
L,5,Dead Acropora,293,,83,
L,5,Halimeda,297,,4,
L,5,Coralline algae,345,,48,
L,5,Carbonate,387,,42,
L,5,Coralline algae,391,,4,
L,5,Carbonate,437,,46,
L,5,Coralline algae,470,,33,
L,5,Dead Acropora,521,,51,
L,5,Halimeda,525,,4,
L,5,Coralline algae,561,,36,
L,5,Dead Acropora,573,,12,
L,5,Halimeda,584,,11,
L,5,Coralline algae,673,,89,
L,5,Dead Acropora,756,,83,
L,5,Dead Acropora,775,,19,
L,5,Coralline algae,793,,18,
L,5,Carbonate,820,,27,
L,5,Coralline algae,844,,24,
L,5,Carbonate,893,,49,
L,5,Coralline algae,951,,58,
L,5,Carbonate,1000,,49,
L,6,Coralline algae,19,7.9,19,
L,6,Halimeda,43,,24,
L,6,Dead Acropora,185,,142,
L,6,Coralline algae,204,,19,
L,6,Dead Acropora,231,,27,
L,6,Coralline algae,251,,20,
L,6,Carbonate,275,,24,
L,6,Halimeda,281,,6,
L,6,Dead Acropora,320,,39,
L,6,Coralline algae,360,,40,
L,6,Dead Acropora,412,,52,
L,6,Porites lobata,456,,44,
L,6,Carbonate,503,,47,
L,6,Halimeda,524,,21,
L,6,Carbonate,635,,111,
L,6,Halimeda,642,,7,
L,6,Carbonate,702,,60,
L,6,Coralline algae,715,,13,
L,6,Carbonate,815,,100,
L,6,Coralline algae,825,,10,
L,6,Carbonate,852,,27,
L,6,Dead Acropora,885,,33,
L,6,Halimeda,912,,27,
L,6,Coralline algae,941,,29,
L,6,Halimeda,953,,12,
L,6,Carbonate,1000,,47,
K,1,Dead Acropora,61,9.4,61,
K,1,Coralline algae,78,,17,
K,1,Carbonate,95,,17,
K,1,Coralline algae,142,,47,
K,1,Carbonate,185,,43,
K,1,Coralline algae,215,,30,
K,1,Carbonate,350,,135,
K,1,Coralline algae,403,,53,
K,1,Dead Acropora,435,,32,
K,1,Porites lichen,441,,6,
K,1,Carbonate,482,,41,
K,1,Coralline algae,510,,28,
K,1,Carbonate,525,,15,
K,1,Acropora hyacinthus,531,,6,
K,1,Coralline algae,551,,20,
K,1,Carbonate,703,,152,
K,1,Acropora hyacinthus,712,,9,
K,1,Dead Acropora,831,,119,
K,1,Coralline algae,872,,41,
K,1,Carbonate,875,,3,
K,1,Acropora hyacinthus,883,,8,
K,1,Coralline algae,904,,21,
K,1,Carbonate,971,,67,
K,1,Dead Acropora,1000,,29,
K,2,Coralline algae,31,9.9,31,
K,2,Carbonate,92,,61,
K,2,Coralline algae,117,,25,
K,2,Porites lichen,119,,2,
K,2,Carbonate,125,,6,
K,2,Coralline algae,142,,17,
K,2,Carbonate,185,,43,
K,2,Dead Acropora,263,,78,
K,2,Coralline algae,285,,22,
K,2,Carbonate,392,,107,
K,2,Galaxea fascicularis,403,,11,
K,2,Dead Acropora,421,,18,
K,2,Coralline algae,440,,19,
K,2,Dead Acropora,520,,80,
K,2,Coralline algae,543,,23,
K,2,Carbonate,588,,45,
K,2,Coralline algae,595,,7,
K,2,Dead Acropora,711,,116,
K,2,Coralline algae,732,,21,
K,2,Dead Acropora,753,,21,
K,2,Coralline algae,825,,72,
K,2,Dead Acropora,965,,140,
K,2,Coralline algae,997,,32,
K,2,Dead Acropora,1000,,3,
K,3,Dead Acropora,45,9.2,45,
K,3,Halimeda,82,,37,
K,3,Dead Acropora,142,,60,
K,3,Halimeda,169,,27,
K,3,Dead Acropora,235,,66,
K,3,Macroalgae Red,245,,10,
K,3,Dead Acropora,382,,137,
K,3,Halimeda,391,,9,
K,3,Carbonate,493,,102,
K,3,Galaxea fascicularis,503,,10,
K,3,Coralline algae,530,,27,
K,3,Galaxea fascicularis,542,,12,
K,3,Carbonate,545,,3,
K,3,Galaxea fascicularis,557,,12,
K,3,Carbonate,572,,15,
K,3,Galaxea fascicularis,578,,6,
K,3,Dead Acropora,593,,15,
K,3,Goniastrea retiformis,602,,9,
K,3,Dead Acropora,701,,99,
K,3,Galaxea fascicularis,715,,14,
K,3,Carbonate,728,,13,
K,3,Galaxea fascicularis,762,,34,
K,3,Carbonate,768,,6,
K,3,Galaxea fascicularis,825,,57,
K,3,Carbonate,852,,27,
K,3,Galaxea fascicularis,854,,2,
K,3,Carbonate,860,,6,
K,3,Galaxea fascicularis,871,,11,
K,3,Coralline algae Lithothamnion,883,,12,
K,3,Galaxea fascicularis,906,,23,
K,3,Carbonate,928,,22,
K,3,Galaxea fascicularis,938,,10,
K,3,Coralline algae Lithothamnion,985,,47,
K,3,Galaxea fascicularis,996,,11,
K,3,Coralline algae,1000,,4,
K,4,Dead Acropora,88,9.2,88,
K,4,Galaxea fascicularis,117,,29,
K,4,Montipora encrusting,151,,34,
K,4,Dead Acropora,241,,90,
K,4,Galaxea fascicularis,273,,32,
K,4,Coralline algae,291,,18,
K,4,Favites pentagona,307,,16,
K,4,Carbonate,352,,45,
K,4,Galaxea fascicularis,357,,5,
K,4,Carbonate,412,,55,
K,4,Porites lichen,425,,13,
K,4,Coralline algae,431,,6,
K,4,Porites lichen,435,,4,
K,4,Galaxea fascicularis,442,,7,
K,4,Carbonate,463,,21,
K,4,Goniastrea retiformis,485,,22,
K,4,Coralline algae,512,,27,
K,4,Galaxea fascicularis,531,,19,
K,4,Coralline algae,550,,19,
K,4,Goniastrea retiformis,582,,32,
K,4,Coralline algae,592,,10,
K,4,Galaxea fascicularis,603,,11,
K,4,Coralline algae,621,,18,
K,4,Galaxea fascicularis,625,,4,
K,4,Coralline algae,655,,30,
K,4,Galaxea fascicularis,662,,7,
K,4,Carbonate,675,,13,
K,4,Acropora hyacinthus,674,,-1,
K,4,Dead Acropora,702,,28,
K,4,Galaxea fascicularis,707,,5,
K,4,Carbonate,722,,15,
K,4,Montipora encrusting,725,,3,
K,4,Galaxea fascicularis,735,,10,
K,4,Carbonate,802,,67,
K,4,Galaxea fascicularis,807,,5,
K,4,Carbonate,815,,8,
K,4,Montipora encrusting,822,,7,
K,4,Carbonate,853,,31,
K,4,Galaxea fascicularis,867,,14,
K,4,Carbonate,892,,25,
K,4,Montipora encrusting,915,,23,
K,4,Carbonate,919,,4,
K,4,Galaxea fascicularis,925,,6,
K,4,Carbonate,930,,5,
K,4,Galaxea fascicularis,932,,2,
K,4,Carbonate,1000,,68,
K,5,Dead Acropora,93,8.8,93,
K,5,Galaxea fascicularis,100,,7,
K,5,Carbonate,115,,15,
K,5,Galaxea fascicularis,142,,27,
K,5,Dead Acropora,183,,41,
K,5,Galaxea fascicularis,274,,91,
K,5,Coralline algae,285,,11,
K,5,Carbonate,312,,27,
K,5,Porites lichen,319,,7,
K,5,Carbonate,341,,22,
K,5,Galaxea fascicularis,351,,10,
K,5,Carbonate,361,,10,
K,5,Galaxea fascicularis,372,,11,
K,5,Carbonate,375,,3,
K,5,Galaxea fascicularis,390,,15,
K,5,Carbonate,427,,37,
K,5,Galaxea fascicularis,431,,4,
K,5,Carbonate,463,,32,
K,5,Galaxea fascicularis,472,,9,
K,5,Carbonate,491,,19,
K,5,Galaxea fascicularis,503,,12,
K,5,Carbonate,520,,17,
K,5,Galaxea fascicularis,537,,17,
K,5,Carbonate,565,,28,
K,5,Goniastrea retiformis,583,,18,
K,5,Dead Acropora,605,,22,
K,5,Porites lichen,611,,6,
K,5,Dead Acropora,670,,59,
K,5,Galaxea fascicularis,675,,5,
K,5,Carbonate,685,,10,
K,5,Coralline algae Lithothamnion,691,,6,
K,5,Galaxea fascicularis,697,,6,
K,5,Coralline algae Lithothamnion,703,,6,
K,5,Galaxea fascicularis,712,,9,
K,5,Coralline algae Lithothamnion,725,,13,
K,5,Dead Acropora,752,,27,
K,5,Coralline algae Lithothamnion,770,,18,
K,5,Carbonate,783,,13,
K,5,Galaxea fascicularis,865,,82,
K,5,Carbonate,872,,7,
K,5,Galaxea fascicularis,891,,19,
K,5,Coralline algae Lithothamnion,895,,4,
K,5,Galaxea fascicularis,902,,7,
K,5,Carbonate,923,,21,
K,5,Galaxea fascicularis,945,,22,
K,5,Coralline algae Lithothamnion,953,,8,
K,5,Galaxea fascicularis,973,,20,
K,5,Coralline algae Lithothamnion,991,,18,
K,5,Galaxea fascicularis,1000,,9,
K,6,Dead Acropora,24,9,24,
K,6,Galaxea fascicularis,42,,18,
K,6,Carbonate,55,,13,
K,6,Galaxea fascicularis,72,,17,
K,6,Dead Acropora,105,,33,
K,6,Galaxea fascicularis,109,,4,
K,6,Coralline algae,150,,41,
K,6,Coralline algae Lithothamnion,163,,13,
K,6,Galaxea fascicularis,172,,9,
K,6,Coralline algae Lithothamnion,192,,20,
K,6,Galaxea fascicularis,198,,6,
K,6,Coralline algae,225,,27,
K,6,Galaxea fascicularis,241,,16,
K,6,Coralline algae,250,,9,
K,6,Galaxea fascicularis,261,,11,
K,6,Favites abdita,289,,28,
K,6,Carbonate,295,,6,
K,6,Galaxea fascicularis,345,,50,
K,6,Carbonate,357,,12,
K,6,Porites rus,362,,5,
K,6,Galaxea fascicularis,382,,20,
K,6,Coralline algae Lithothamnion,395,,13,
K,6,Galaxea fascicularis,426,,31,
K,6,Carbonate,429,,3,
K,6,Galaxea fascicularis,465,,36,
K,6,Carbonate,483,,18,
K,6,Coralline algae Lithothamnion,491,,8,
K,6,Galaxea fascicularis,495,,4,
K,6,Coralline algae,510,,15,
K,6,Goniastrea retiformis,519,,9,
K,6,Porites rus,542,,23,
K,6,Carbonate,547,,5,
K,6,Galaxea fascicularis,548,,1,
K,6,Coralline algae,552,,4,
K,6,Coralline algae Lithothamnion,582,,30,
K,6,Galaxea fascicularis,608,,26,
K,6,Coralline algae Lithothamnion,632,,24,
K,6,Galaxea fascicularis,642,,10,
K,6,Coralline algae,673,,31,
K,6,Carbonate,730,,57,
K,6,Galaxea fascicularis,732,,2,
K,6,Carbonate,735,,3,
K,6,Coralline algae Lithothamnion,745,,10,
K,6,Coralline algae,762,,17,
K,6,Carbonate,785,,23,
K,6,Galaxea fascicularis,810,,25,
K,6,Carbonate,835,,25,
K,6,Galaxea fascicularis,843,,8,
K,6,Carbonate,855,,12,
K,6,Montipora encrusting,882,,27,
K,6,Carbonate,895,,13,
K,6,Montipora encrusting,910,,15,
K,6,Carbonate,922,,12,
K,6,Galaxea fascicularis,935,,13,
K,6,Carbonate,1000,,65,
H,1,Montipora encrusting,22,9.9,22,
H,1,Carbonate,41,,19,
H,1,Montipora encrusting,61,,20,
H,1,Porites lichen,65,,4,
H,1,Carbonate,130,,65,
H,1,Montipora encrusting,142,,12,
H,1,Carbonate,165,,23,
H,1,Dead Acropora,236,,71,
H,1,Carbonate,252,,16,
H,1,Goniastrea retiformis,257,,5,
H,1,Coralline algae Porolithon,262,,5,
H,1,Goniastrea retiformis,275,,13,
H,1,Coralline algae Porolithon,283,,8,
H,1,Montipora encrusting,291,,8,
H,1,Coralline algae Porolithon,297,,6,
H,1,Montipora encrusting,301,,4,
H,1,Coralline algae Porolithon,315,,14,
H,1,Carbonate,350,,35,
H,1,Dead Acropora,365,,15,
H,1,Carbonate,387,,22,
H,1,Favites pentagona,395,,8,
H,1,Carbonate,436,,41,
H,1,Goniastrea retiformis,437,,1,
H,1,Sand,462,,25,
H,1,Carbonate,482,,20,
H,1,Halimeda,485,,3,
H,1,Carbonate,535,,50,
H,1,Montipora encrusting,552,,17,
H,1,Carbonate,655,,103,
H,1,Acropora hyacinthus,658,,3,
H,1,Carbonate,682,,24,
H,1,Galaxea fascicularis,688,,6,
H,1,Carbonate,702,,14,
H,1,Platygyra pini,705,,3,
H,1,Carbonate,741,,36,
H,1,Platygyra sinensis,751,,10,
H,1,Coralline algae Lithothamnion,762,,11,
H,1,Carbonate,862,,100,
H,1,Montipora encrusting,872,,10,
H,1,Carbonate,891,,19,
H,1,Hydnophora microconus,911,,20,
H,1,Carbonate,1000,,89,
H,2,Goniastrea retiformis,11,9.6,11,
H,2,Carbonate,23,,12,
H,2,Goniastrea retiformis,29,,6,
H,2,Carbonate,45,,16,
H,2,Porites lobata,63,,18,
H,2,Montipora encrusting,85,,22,
H,2,Carbonate,145,,60,
H,2,Montipora encrusting,152,,7,
H,2,Carbonate,175,,23,
H,2,Galaxea fascicularis,180,,5,
H,2,Carbonate,225,,45,
H,2,Porites lichen,235,,10,
H,2,Coralline algae Porolithon,261,,26,
H,2,Porites lobata,270,,9,
H,2,Coralline algae Porolithon,282,,12,
H,2,Galaxea fascicularis,285,,3,
H,2,Porites lichen,295,,10,
H,2,Goniastrea retiformis,301,,6,
H,2,Coralline algae Porolithon,312,,11,
H,2,Galaxea fascicularis,315,,3,
H,2,Carbonate,322,,7,
H,2,Coralline algae,350,,28,
H,2,Montipora encrusting,365,,15,
H,2,Carbonate,367,,2,
H,2,Montipora encrusting,373,,6,
H,2,Carbonate,412,,39,
H,2,Pocillopora eydouxi,423,,11,
H,2,Carbonate,483,,60,
H,2,Porites lichen,512,,29,
H,2,Carbonate,515,,3,
H,2,Favites pentagona,519,,4,
H,2,Carbonate,532,,13,
H,2,Coralline algae Porolithon,543,,11,
H,2,Carbonate,565,,22,
H,2,Goniastrea retiformis,572,,7,
H,2,Carbonate,591,,19,
H,2,Goniastrea retiformis,625,,34,
H,2,Carbonate,643,,18,
H,2,Pocillopora verrucosa,654,,11,
H,2,Coralline algae Porolithon,687,,33,
H,2,Carbonate,703,,16,
H,2,Favites pentagona,711,,8,
H,2,Carbonate,752,,41,
H,2,Acropora nasuta,763,,11,
H,2,Carbonate,810,,47,
H,2,Astrea curta,815,,5,
H,2,Carbonate,854,,39,
H,2,Acropora hyacinthus,855,,1,
H,2,Carbonate,913,,58,
H,2,Halimeda,922,,9,
H,2,Carbonate,950,,28,
H,2,Montipora encrusting,958,,8,
H,2,Carbonate,1000,,42,
H,3,Coralline algae Porolithon,48,9.6,48,
H,3,Carbonate,52,,4,
H,3,Coralline algae Lithothamnion,60,,8,
H,3,Goniastrea retiformis,65,,5,
