"","P.locat","NP","GP","BFj","BUj","palsites.real.lon","palsites.real.lat"
"1","outer",4.02931898752118,3.16788573549103,0.0177366164186063,0.000206432312326584,162.95673,5.26699
"2","outer",6.07612147726082,5.20460461693316,0.0130244489749813,0,162.90755,5.27876
"3","outer",1.58307671899572,1.56056566722517,0.0147690408220348,0,162.98051,5.26525
"4","outer",8.81664761615428,6.5895824255297,0.00674237714456863,0,163.0027,5.37348
"5","outer",2.55514108465745,2.09736293213917,0.00908229966907502,0,162.99699,5.37506
"6","outer",7.35890087960766,6.45620766902125,0.014793209560386,0.000185627312326584,162.8967,5.29927
"7","outer",4.71357433132095,3.932397678553,0.00513156907283199,0,162.93533,5.32677
"8","outer",10.4900720451274,10.1498511173368,0.010972085956802,0,163.03798,5.31259
"9","outer",6.91003723990485,5.16672037037084,0.0162033465155332,0,163.03645,5.32721
"10","outer",10.8481188569012,8.11468323420579,0.00873888129907124,0,162.94688,5.35649
"11","outer",8.32734003567326,7.15261852238363,0.0269383387607671,0,163.03059,5.28791
"12","outer",13.5588594545091,9.74066726461192,0.00712517226671742,0,163.02065,5.27187
"13","outer",4.64900054599452,4.38113443073183,0,0,162.98283,5.3718
"14","outer",14.9715661558681,10.0138955095785,0.0118266375879233,0,163.03365,5.33899
"15","outer",7.76281167180919,6.26434926224034,0.00817958060638187,5.33614613883465e-05,162.98364,5.26278
"16","outer",17.1413497783544,10.2629529730534,0.000851935993849091,0,162.97695,5.36937
"17","outer",10.3047067480115,6.98304775355623,0.00163631013985618,0.000124907318047026,162.90034,5.31134
"18","outer",10.5213602412994,7.760788952297,0.00347248953241935,0,162.98454,5.37275
"19","inner",10.5720651690719,8.95488275675072,0,0.000371107933279122,163.02315,5.32558
"20","inner",7.13110897439924,5.95995741917337,0,0.00135852197117081,162.95325,5.34423
"21","inner",11.1078524645163,9.85988108483236,0.131584593027924,0.00225335872154506,162.939,5.32762
"22","inner",13.441226716042,11.9348030369617,0.00328585389150547,0.00265857542495114,162.95012,5.3458
"23","inner",11.2324552566548,11.3200144222523,0.35325293866815,0.00260702201691588,162.96646,5.27639
"24","inner",5.94246665699337,5.10112744569819,0.23670596592808,0.00404415123521605,162.95404,5.34976
"25","outer",13.9035828867971,11.3721733476617,0.00155230518995927,0.000648983119778137,162.95673,5.26699
