letter,X,x,y,real.lon,real.lat
A,outer,162.9581186,5.268808675,162.95673,5.26699
B,outer,162.9089623,5.275857191,162.90755,5.27876
C,outer,162.9922155,5.259880554,162.98051,5.26525
D,outer,163.0030129,5.372186915,163.0027,5.37348
E,outer,162.9990349,5.373126717,162.99699,5.37506
F,outer,162.8953235,5.300292048,162.8967,5.29927
G,outer,162.9353874,5.326136608,162.93533,5.32677
H,outer,163.0365415,5.312509476,163.03798,5.31259
I,outer,163.0354049,5.329895817,163.03645,5.32721
J,outer,162.9476054,5.355740376,162.94688,5.35649
K,outer,163.0288697,5.287604718,163.03059,5.28791
L,outer,163.0189247,5.271863032,163.02065,5.27187
M,outer,162.983123,5.370777211,162.98283,5.3718
N,outer,163.0302904,5.339528789,163.03365,5.33899
O,outer,162.9987507,5.2582359,162.98364,5.26278
P,outer,162.9765878,5.367487904,162.97695,5.36937
Q,outer,162.8998698,5.309220169,162.90034,5.31134
R,outer,162.9873851,5.373596618,162.98454,5.37275
S,inner,163.0229027,5.321907498,163.02315,5.32558
T,inner,162.9555613,5.341643344,162.95325,5.34423
U,inner,162.942775,5.328251163,162.939,5.32762
V,inner,162.9501627,5.347047206,162.95012,5.3458
W,inner,162.9745988,5.273272735,162.96646,5.27639
X,inner,162.9541406,5.350101563,162.95404,5.34976
