Site,Transect,Species,cm,rugosity,Diff,COT,
J,1,Porites rus,11,9.7,11,0,
J,1,Carbonate,81,,70,,
J,1,Porites lobata,85,,4,,
J,1,encrusting Sponge,91,,6,,
J,1,Carbonate,151,,60,,
J,1,Turf algae,182,,31,,
J,1,encrusting Sponge,185,,3,,
J,1,Carbonate,201,,16,,
J,1,encrusting Sponge,210,,9,,
J,1,Sand and rubble,342,,132,,
J,1,encrusting Sponge,351,,9,,
J,1,Sand and rubble,405,,54,,
J,1,Porites lobata,408,,3,,
J,1,Sand and rubble,491,,83,,
J,1,encrusting Sponge,495,,4,,
J,1,Sand and rubble,502,,7,,
J,1,Porites lobata,510,,8,,
J,1,Sand and rubble,518,,8,,
J,1,Carbonate,562,,44,,
J,1,encrusting Sponge,567,,5,,
J,1,Sand and rubble,682,,115,,
J,1,Carbonate,710,,28,,
J,1,Porites rus,715,,5,,
J,1,Sand and rubble,739,,24,,
J,1,Carbonate,792,,53,,
J,1,Sand and rubble,834,,42,,
J,1,Porites rus,835,,1,,
J,1,Sand and rubble,882,,47,,
J,1,Porites lobata,885,,3,,
J,1,Sand and rubble,920,,35,,
J,1,Carbonate,935,,15,,
J,1,encrusting Sponge,944,,9,,
J,1,Carbonate,982,,38,,
J,1,Porites lobata,985,,3,,
J,1,Carbonate,991,,6,,
J,1,Porites rus,995,,4,,
J,1,Carbonate,1000,,5,,
J,2,Sand and rubble,18,9.8,18,0,
J,2,Turf algae,22,,4,,
J,2,Sand and rubble,58,,36,,
J,2,Carbonate,85,,27,,
J,2,Porites lobata,91,,6,,
J,2,Carbonate,105,,14,,
J,2,Porites lobata,115,,10,,
J,2,Carbonate,124,,9,,
J,2,Porites lobata,128,,4,,
J,2,encrusting Sponge,135,,7,,
J,2,Porites attenuata,131,,-4,,
J,2,Carbonate,155,,24,,
J,2,Porites lobata,163,,8,,
J,2,Sand and rubble,175,,12,,
J,2,Carbonate,184,,9,,
J,2,Sand and rubble,205,,21,,
J,2,Porites lobata,223,,18,,
J,2,Sand and rubble,250,,27,,
J,2,Carbonate,260,,10,,
J,2,Porites rus,265,,5,,
J,2,Sand and rubble,285,,20,,
J,2,Turf algae,301,,16,,
J,2,Porites lobata,314,,13,,
J,2,Porites rus,325,,11,,
J,2,Turf algae,346,,21,,
J,2,Porites lobata,349,,3,,
J,2,Carbonate,365,,16,,
J,2,Macroalgae Dictyota,367,,2,,
J,2,Carbonate,391,,24,,
J,2,Porites lobata,395,,4,,
J,2,Carbonate,402,,7,,
J,2,Turf algae,410,,8,,
J,2,Carbonate,425,,15,,
J,2,Porites lobata,445,,20,,
J,2,Sand and rubble,460,,15,,
J,2,Turf algae,465,,5,,
J,2,Porites lobata,481,,16,,
J,2,Carbonate,483,,2,,
J,2,Favites flexuosa,493,,10,,
J,2,Carbonate,502,,9,,
J,2,Favites flexuosa,510,,8,,
J,2,Carbonate,530,,20,,
J,2,Porites lobata,535,,5,,
J,2,Carbonate,561,,26,,
J,2,encrusting Sponge,563,,2,,
J,2,Porites lobata,575,,12,,
J,2,encrusting Sponge,582,,7,,
J,2,Carbonate,591,,9,,
J,2,encrusting Sponge,615,,24,,
J,2,Carbonate,620,,5,,
J,2,encrusting Sponge,652,,32,,
J,2,Sand and rubble,735,,83,,
J,2,encrusting Sponge,745,,10,,
J,2,Sand and rubble,950,,205,,
J,2,Porites lobata,953,,3,,
J,2,Sand and rubble,967,,14,,
J,2,encrusting Sponge,984,,17,,
J,2,Turf algae,1000,,16,,
J,3,Carbonate,35,8.7,35,1,
J,3,encrusting Sponge,42,,7,,
J,3,Carbonate,63,,21,,
J,3,Turf algae,65,,2,,
J,3,Carbonate,82,,17,,
J,3,Turf algae,85,,3,,
J,3,Carbonate,96,,11,,
J,3,Sand and rubble,215,,119,,
J,3,Porites lobata,217,,2,,
J,3,Sand and rubble,241,,24,,
J,3,encrusting Sponge,255,,14,,
J,3,Carbonate,268,,13,,
J,3,Sponge,273,,5,,
J,3,Carbonate,285,,12,,
J,3,Turf algae,310,,25,,
J,3,Sponge,320,,10,,
J,3,Sand and rubble,405,,85,,
J,3,Carbonate,468,,63,,
J,3,Turf algae,472,,4,,
J,3,Sponge,475,,3,,
J,3,Carbonate,503,,28,,
J,3,Macroalgae Dictyota,510,,7,,
J,3,Sand and rubble,525,,15,,
J,3,Carbonate,551,,26,,
J,3,Porites lobata,562,,11,,
J,3,Sponge,575,,13,,
J,3,Turf algae,590,,15,,
J,3,Carbonate,595,,5,,
J,3,Turf algae,603,,8,,
J,3,Carbonate,631,,28,,
J,3,Sponge,638,,7,,
J,3,Carbonate,640,,2,,
J,3,Turf algae,652,,12,,
J,3,Sand and rubble,675,,23,,
J,3,Porites lobata,683,,8,,
J,3,Sponge,695,,12,,
J,3,Carbonate,703,,8,,
J,3,Sponge,714,,11,,
J,3,Carbonate,730,,16,,
J,3,Sand and rubble,750,,20,,
J,3,Porites lobata,751,,1,,
J,3,Carbonate,780,,29,,
J,3,Sponge,795,,15,,
J,3,Carbonate,803,,8,,
J,3,Porites rus,805,,2,,
J,3,Carbonate,810,,5,,
J,3,Sponge,819,,9,,
J,3,Carbonate,830,,11,,
J,3,Porites rus,842,,12,,
J,3,Sand and rubble,871,,29,,
J,3,Porites annae,875,,4,,
J,3,Carbonate,880,,5,,
J,3,Porites annae,902,,22,,
J,3,Carbonate,930,,28,,
J,3,Sponge,935,,5,,
J,3,Turf algae,960,,25,,
J,3,Porites lobata,965,,5,,
J,3,Carbonate,995,,30,,
J,3,Porites rus,1000,,5,,
J,4,Turf algae,12,7.9,12,1,
J,4,Carbonate,22,,10,,
J,4,Sponge,25,,3,,
J,4,Carbonate,35,,10,,
J,4,Turf algae,83,,48,,
J,4,Carbonate,85,,2,,
J,4,Turf algae,105,,20,,
J,4,Sponge,110,,5,,
J,4,Turf algae,129,,19,,
J,4,Sand and rubble,192,,63,,
J,4,Carbonate,197,,5,,
J,4,Sand and rubble,210,,13,,
J,4,Carbonate,224,,14,,
J,4,Sponge,227,,3,,
J,4,Turf algae,265,,38,,
J,4,Carbonate,270,,5,,
J,4,Turf algae,275,,5,,
J,4,Carbonate,285,,10,,
J,4,Sponge,293,,8,,
J,4,Carbonate,305,,12,,
J,4,Sponge,309,,4,,
J,4,Sand and rubble,350,,41,,
J,4,Sponge,351,,1,,
J,4,Turf algae,403,,52,,
J,4,Sponge,415,,12,,
J,4,Turf algae,421,,6,,
J,4,Sponge,427,,6,,
J,4,Turf algae,441,,14,,
J,4,Sponge,451,,10,,
J,4,Turf algae,471,,20,,
J,4,Carbonate,525,,54,,
J,4,Sponge,543,,18,,
J,4,Turf algae,565,,22,,
J,4,Macroalgae Dictyota,575,,10,,
J,4,Turf algae,583,,8,,
J,4,Sponge,595,,12,,
J,4,Carbonate,615,,20,,
J,4,Porites lobata,620,,5,,
J,4,Sponge,651,,31,,
J,4,Turf algae,660,,9,,
J,4,Sponge,682,,22,,
J,4,Turf algae,703,,21,,
J,4,Carbonate,730,,27,,
J,4,Sponge,741,,11,,
J,4,Porites lobata,745,,4,,
J,4,Carbonate,770,,25,,
J,4,Sand and rubble,871,,101,,
J,4,Carbonate,903,,32,,
J,4,Sponge,915,,12,,
J,4,Turf algae,935,,20,,
J,4,Sponge,938,,3,,
J,4,Carbonate,962,,24,,
J,4,Sponge,975,,13,,
J,4,Carbonate,982,,7,,
J,4,Turf algae,1000,,18,,
J,5,Carbonate,15,9.8,15,,
J,5,Sand and rubble,250,,235,1,
J,5,Carbonate,292,,42,,
J,5,Porites lobata,303,,11,,
J,5,Carbonate,335,,32,,
J,5,Turf algae,351,,16,,
J,5,Porites lobata,353,,2,,
J,5,Sand and rubble,595,,242,,
J,5,Porites lobata,597,,2,,
J,5,Sand and rubble,610,,13,,
J,5,Porites lobata,615,,5,,
J,5,Sand and rubble,640,,25,,
J,5,Porites lobata,652,,12,,
J,5,Sand and rubble,671,,19,,
J,5,Porites lobata,675,,4,,
J,5,Sand and rubble,912,,237,,
J,5,Porites lobata,914,,2,,
J,5,Sand and rubble,990,,76,,
J,5,Porites lobata,995,,5,,
J,5,Sand and rubble,1000,,5,,
J,6,Sand and rubble,14,8.4,14,,
J,6,Porites lobata,25,,11,,
J,6,Carbonate,35,,10,,
J,6,Porites annae,55,,20,,
J,6,Sand and rubble,81,,26,,
J,6,Porites annae,85,,4,,
J,6,Sand and rubble,103,,18,,
J,6,Carbonate,195,,92,,
J,6,Sand and rubble,205,,10,,
J,6,Porites annae,215,,10,,
J,6,Porites lobata,235,,20,,
