sitenum,site,transect,genus,species,size,,
1,L,1,Chlorurus,sordidus,15,,
1,L,1,Chlorurus,sordidus,16,,
1,L,1,Chlorurus,sordidus,17,,
1,L,1,Chlorusus,sordidus,13,,
1,L,1,Chlorurus,sordidus,14,,
1,L,1,Chlorurus,sordidus,15,,
1,L,1,Chlorurus,sordidus,15,,
1,L,1,Chlorurus,sordidus,17,,
1,L,1,Scarus,rivulatus,19,,
1,L,1,Scarus,niger,17,,
1,L,1,Scarus,rivulatus,21,,
1,L,1,Scarus,niger,21,,
1,L,1,Scarus,globiceps,8,?,
1,L,1,Scarus,psittacus,18,,
1,L,1,Chlorurus,sordidus,17,,
1,L,1,Scarus,rubroviolaceus,16,,
1,L,1,Chlorurus,rubroviolaceus,18,,
1,L,1,Chlorurus,japanensis,17,,
1,L,1,Chlorurus,japanensis,16,,
1,L,1,Chlorurus,japanensis,16,,
1,L,1,Chlorurus,japanensis,15,,
1,L,1,Scarus,niger,13,,
1,L,1,Scarus,niger,12,,
1,L,1,Scarus,niger,13,,
1,L,1,Chlorurus,japanensis,15,,
1,L,1,Chlorurus,japanensis,19,? 1:12,
1,L,1,Chlorurus,japanensis,20,? 1:12,
1,L,1,Calotomus,carolinus,20,?1:12,
1,L,2,Chlorurus,bleekeri,27,,
1,L,2,Chlorurus,sordidus,15,,
1,L,2,Chlorurus,sordidus,14,,
1,L,2,Chlorurus,sordidus,14,,
1,L,2,Scarus,niger,16,,
1,L,2,Chlorurus,sordidus,16,,
1,L,2,Chlorurus,sordidus,19,,
1,L,2,Chlorurus,sordidus,23,,
1,L,2,Scarus,globiceps,10,? 0:40,
1,L,2,Chlorurus,japanensis,25,,
1,L,2,Chlorurus,sordidus,17,,
1,L,2,Chlorurus,sordidus,19,,
1,L,2,Chlorurus,sordidus,14,,
1,L,2,Scarus,niger,17,,
1,L,2,Calotomus,carolinus,22,?,
1,L,2,Scarus,frenatus,20,,
1,L,3,Chlorurus,japanensis,25,,
1,L,3,Scarus,rubroviolaceus,26,,
1,L,3,Chlorurus,sordidus,22,,
1,L,3,Chlorurus,sordidus,17,,
1,L,3,Chlorurus,sordidus,24,,
1,L,3,Chlorurus,sordidus,13,,
1,L,3,Scarus,globiceps,20,,
1,L,3,Chlorurus,sordidus,15,,
1,L,3,Chlorurus,sordidus,22,,
1,L,3,Chlorurus,sordidus,18,,
1,L,3,Chlorurus,sordidus,26,,
1,L,3,Chlorurus,sordidus,18,,
1,L,4,Chlorurus,japanensis,17,,
1,L,4,Scarus,niger,18,,
1,L,4,Chlorurus,sordidus,16,,
1,L,4,Chlorurus,sordidus,16,,
1,L,4,Chlorurus,sordidus,17,,
1,L,4,Chlorurus,sordidus,15,,
1,L,4,Chlorurus,japanensis,17,,
1,L,4,Chlorurus,sordidus,15,,
1,L,4,Chlorurus,sordidus,15,,
1,L,5,Chlorurus,sordidus,14,,
1,L,5,Chlorurus,sordidus,15,,
1,L,5,Chlorurus,sordidus,21,,
1,L,5,Chlorurus,sordidus,22,,
1,L,5,Chlorurus,sordidus,22,,
1,L,5,Chlorurus,sordidus,14,,
1,L,5,Chlorurus,globiceps,19,,
1,L,5,Calotomus,carolinus,18,?,
1,L,5,Chlorurus,sordidus,13,,
1,L,5,Chlorurus,sordidus,14,,
1,L,5,Chlorurus,sordidus,14,,
1,L,5,Chlorurus,sordidus,19,,
1,L,6,Chlorurus,sordidus,14,,
1,L,6,Chlorurus,sordidus,15,,
1,L,6,Chlorurus,sordidus,14,,
1,L,6,Scarus,globiceps,16,,
1,L,6,Scarus,globiceps,17,,
1,L,6,Chlorurus,sordidus,20,,
1,L,6,Chlorurus,sordidus,15,,
1,L,6,Chlorurus,sordidus,13,,
1,L,6,Chlorurus,sordidus,14,,
1,L,6,Chlorurus,sordidus,14,,
1,L,6,Chlorurus,sordidus,14,,
1,L,6,Chlorurus,sordidus,21,,
1,L,6,Chlorurus,japanensis,22,,
2,K,1,Scarus,frenatus,23,,
