site n,site,transect,species,diameter cm
1,L,1,NA,NA
1,L,2,other,6
1,L,3,other,4
1,L,3,Echinometra,2.5
1,L,4,NA,NA
1,L,5,NA,NA
1,L,6,NA,NA
2,K,1,NA,NA
2,K,2,NA,NA
2,K,3,NA,NA
2,K,4,NA,NA
2,K,5,Echinometra,3
2,K,5,Echinometra,3
2,K,5,Echinometra,1
2,K,6,NA,NA
3,H,1,NA,NA
3,H,2,NA,NA
3,H,3,other,1.5
3,H,3,other,2
3,H,3,Echinometra,2
3,H,3,other,1.5
3,H,4,Echinometra,2
3,H,4,other,2
3,H,5,Echinometra,2
3,H,5,other,8
3,H,5,other,2
3,H,5,other,2.5
3,H,5,other,2.5
3,H,6,other,3
4,I,1,other,2
4,I,1,other,2.5
4,I,1,other,8
4,I,1,other,7
4,I,1,other,4
4,I,1,other,3
4,I,2,other,2.5
4,I,2,Echinometra,2
4,I,2,other,3
4,I,2,other,3.5
4,I,2,other,3
4,I,2,Echinometra,2.5
4,I,2,other,2.5
4,I,2,Echinometra,4
4,I,2,other,2
4,I,2,other,5
4,I,2,other,4.5
4,I,3,other,3
4,I,3,other,2.5
4,I,3,other,2
4,I,3,other,7
4,I,3,other,4.5
4,I,3,other,4
4,I,4,Echinometra,3
4,I,4,Echinometra,2.5
4,I,4,other,2
4,I,4,other,2
4,I,4,other,2
4,I,4,other,3.5
4,I,4,Echinometra,3
4,I,4,Echinometra,4
4,I,4,other,4
4,I,4,other,5.5
4,I,4,other,8.5
4,I,5,other,4
4,I,5,other,2
4,I,5,Echinometra,2
4,I,6,other,4
5,S,1,NA,NA
5,S,2,NA,NA
5,S,3,NA,NA
5,S,4,NA,NA
5,S,5,NA,NA
5,S,6,NA,NA
6,N,1,other,2.5
6,N,2,other,2.5
6,N,2,other,2
6,N,2,other,2
6,N,2,other,1.5
6,N,3,NA,NA
6,N,4,other,3.5
6,N,4,other,3
6,N,5,other,2.5
6,N,5,other,1.5
6,N,5,other,2
6,N,5,other,3
6,N,5,other,4
6,N,5,other,1.5
6,N,5,other,2
6,N,5,other,2.5
6,N,5,other,2.5
6,N,5,other,3
6,N,5,other,2.5
6,N,5,other,3
6,N,5,other,3
6,N,5,other,2
6,N,6,other,4
6,N,6,other,3
6,N,6,other,2.5
6,N,6,other,3
6,N,6,other,3
6,N,6,other,3
6,N,6,other,1.5
6,N,6,other,6
7,D,1,other,2
7,D,1,other,3
7,D,2,other,5.5
7,D,2,other,3
7,D,3,other,2.5
7,D,3,other,2
7,D,3,other,2
7,D,3,other,2.5
7,D,3,other,3.5
7,D,3,other,2
7,D,3,other,2.5
7,D,3,other,3
7,D,3,other,1.5
7,D,3,other,2
7,D,3,other,2.5
7,D,3,other,3.5
7,D,3,other,1.5
7,D,4,other,2.5
7,D,4,other,3
7,D,4,other,3
7,D,4,other,2
7,D,4,other,2
7,D,4,other,3
7,D,4,other,2
7,D,4,other,2.5
7,D,4,other,2
7,D,4,other,5.5
7,D,5,other,7
7,D,5,other,4
7,D,5,other,2.5
7,D,6,other,3
7,D,6,other,6.5
7,D,6,other,2
7,D,6,other,2
7,D,6,other,2
7,D,6,other,3.5
7,D,6,other,3
7,D,6,other,2.5
7,D,6,other,2
7,D,6,other,3
7,D,6,other,2.5
7,D,6,other,3.5
7,D,6,other,2
8,E,1,other,3
8,E,1,other,3.5
8,E,2,NA,NA
8,E,3,other,2
8,E,4,NA,NA
8,E,5,NA,NA
8,E,6,other,6
9,R,1,NA,NA
9,R,2,NA,NA
9,R,3,NA,NA
9,R,4,NA,NA
9,R,5,NA,NA
9,R,6,NA,NA
10,M,1,NA,NA
10,M,2,NA,NA
10,M,3,NA,NA
10,M,4,other,6.5
10,M,5,NA,NA
10,M,6,Echinometra,1
11,P,1,other,4
11,P,1,other,3
11,P,1,other,3
11,P,1,other,3.5
11,P,1,other,3
11,P,2,NA,NA
11,P,3,other,4
11,P,3,other,3
11,P,4,other,4.5
11,P,5,other,2
11,P,5,other,2
11,P,5,other,3
11,P,5,other,5
11,P,6,other,3
11,P,6,other,1
11,P,6,other,2
11,P,6,other,2.5
11,P,6,other,3
11,P,6,other,3
12,J,1,NA,NA
12,J,2,NA,NA
12,J,3,NA,NA
12,J,4,NA,NA
12,J,5,NA,NA
12,J,6,NA,NA
13,V,1,NA,NA
13,V,2,NA,NA
13,V,3,NA,NA
13,V,4,NA,NA
13,V,5,NA,NA
13,V,6,NA,NA
14,X,1,NA,NA
14,X,2,NA,NA
14,X,3,NA,NA
14,X,4,NA,NA
14,X,5,NA,NA
14,X,6,NA,NA
15,T,1,NA,NA
15,T,2,NA,NA
15,T,3,NA,NA
15,T,4,NA,NA
15,T,5,NA,NA
15,T,6,NA,NA
16,G,1,NA,NA
16,G,2,Echinometra,1.5
16,G,2,Echinometra,2
16,G,2,Echinometra,2
16,G,2,Echinometra,1.5
16,G,3,NA,NA
16,G,4,NA,NA
16,G,5,NA,NA
16,G,6,NA,NA
17,U,1,other,3
17,U,2,NA,NA
17,U,3,NA,NA
17,U,4,NA,NA
17,U,5,other,2.5
17,U,6,NA,NA
18,Q,1,NA,NA
18,Q,2,NA,NA
18,Q,3,NA,NA
18,Q,4,NA,NA
18,Q,5,other,3
18,Q,6,NA,NA
19,F,1,NA,NA
19,F,2,NA,NA
19,F,3,other,3
19,F,4,Echinometra,2
19,F,5,NA,NA
19,F,6,NA,NA
20,B,1,NA,NA
20,B,2,NA,NA
20,B,3,NA,NA
20,B,4,NA,NA
20,B,5,NA,NA
20,B,6,NA,NA
21,W,1,NA,NA
21,W,2,NA,NA
21,W,3,NA,NA
21,W,4,NA,NA
21,W,5,NA,NA
21,W,6,NA,NA
22,O,1,NA,NA
